2023-05-13 20:36:13.944867 |   | Window:Key logger|1
2023-05-13 20:36:15.113016 | H | Window:Key logger|1
2023-05-13 20:36:16.009743 | e | Window:Key logger|1
2023-05-13 20:36:16.129279 | l | Window:Key logger|1
2023-05-13 20:36:16.273424 | l | Window:Key logger|1
2023-05-13 20:36:16.458249 | o | Window:Key logger|1
2023-05-13 20:36:16.592836 |   | Window:Key logger|1
2023-05-13 20:36:17.713740 | m | Window:Key logger|1
2023-05-13 20:36:18.241819 | y | Window:Key logger|1
2023-05-13 20:36:18.377454 |   | Window:Key logger|1
2023-05-13 20:36:18.650684 | n | Window:Key logger|1
2023-05-13 20:36:18.754261 | a | Window:Key logger|1
2023-05-13 20:36:18.921431 | m | Window:Key logger|1
2023-05-13 20:36:19.049031 | e | Window:Key logger|1
2023-05-13 20:36:19.185695 |   | Window:Key logger|1
2023-05-13 20:36:19.433324 | i | Window:Key logger|1
2023-05-13 20:36:19.530384 | s | Window:Key logger|1
2023-05-13 20:36:19.649029 |   | Window:Key logger|1
2023-05-13 20:36:22.266933 | m | Window:Key logger|1
2023-05-13 20:36:22.697673 | a | Window:Key logger|1
2023-05-13 20:36:23.056940 | x | Window:Key logger|1
2023-05-13 20:36:23.168237 |   | Window:Key logger|1
2023-05-13 20:36:32.096745 | b | Window:‫כרטיסייה חדשה - Google Chrome‬|1
2023-05-13 20:36:32.256016 | a | Window:‫כרטיסייה חדשה - Google Chrome‬|1
2023-05-13 20:36:32.568362 | n | Window:‫כרטיסייה חדשה - Google Chrome‬|1
2023-05-13 20:36:33.576585 | k | Window:‫כרטיסייה חדשה - Google Chrome‬|1
2023-05-13 20:36:33.664158 |   | Window:‫כרטיסייה חדשה - Google Chrome‬|1
2023-05-13 20:36:33.896078 | l | Window:‫כרטיסייה חדשה - Google Chrome‬|1
2023-05-13 20:36:34.296495 | e | Window:‫כרטיסייה חדשה - Google Chrome‬|1
2023-05-13 20:36:35.207919 | u | Window:‫כרטיסייה חדשה - Google Chrome‬|1
2023-05-13 20:36:35.496372 | m | Window:‫כרטיסייה חדשה - Google Chrome‬|1
2023-05-13 20:36:35.632020 | i | Window:‫כרטיסייה חדשה - Google Chrome‬|1
2023-05-13 20:36:47.111640 | a | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:47.279490 | d | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:47.840283 | m | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:48.031813 | i | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:48.223937 | n | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:50.175766 | a | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:50.303529 | d | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:50.479939 | m | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:50.610173 | i | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:50.776560 | n | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:53.368497 | a | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:53.527047 | d | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:53.847823 | m | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:54.016160 | i | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:54.207457 | n | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:54.752867 | 1 | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:54.889114 | 2 | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:36:55.207866 | 3 | Window:‫בנק לאומי - כניסה לחשבונך - PRD_TLV - Google Chrome‬|1
2023-05-13 20:38:44.645002 |   | Window:Key logger|1
2023-05-13 20:38:44.949307 | ש | Window:Key logger|1
2023-05-13 20:38:45.124680 | מ | Window:Key logger|1
2023-05-13 20:38:45.236613 | ע | Window:Key logger|1
2023-05-13 20:38:45.332575 |   | Window:Key logger|1
2023-05-13 20:38:45.548512 | י | Window:Key logger|1
2023-05-13 20:38:45.604645 | ש | Window:Key logger|1
2023-05-13 20:38:45.846989 | ר | Window:Key logger|1
2023-05-13 20:38:46.062476 | א | Window:Key logger|1
